molecule_chembl_id,class_label,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL2372143,inactive,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)OCc1ccccc1)C(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)C(F)(F)F,634.6960000000004,3.8319000000000036,4.0,6.0,5.0
CHEMBL259622,inactive,CCCCCCCCC(=O)N[C@@H](CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F,470.57600000000014,5.126800000000005,2.0,3.0,4.301029995663981
CHEMBL261189,inactive,CCCCCCCCCC(=O)N[C@@H](CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F,484.6030000000001,5.516900000000005,2.0,3.0,4.301029995663981
CHEMBL265704,inactive,C[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)NCC(=O)C(F)(F)F,327.25899999999996,-1.0691999999999977,4.0,5.0,4.301029995663981
CHEMBL261402,inactive,C[C@H](NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)C(=O)NCC(=O)C(F)(F)F,483.4840000000002,1.7538999999999985,3.0,7.0,4.3979400086720375
CHEMBL258581,inactive,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)NC(C)C(=O)C(F)(F)F,354.369,2.5619000000000005,2.0,4.0,4.3979400086720375
CHEMBL409422,inactive,O=C(N[C@@H](Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F)OCc1ccccc1,498.50100000000015,4.383000000000004,2.0,4.0,4.698970004336019
CHEMBL523052,inactive,O=C(CSc1nc(C2CCCCC2)nc2ccccc12)NCc1ccco1,381.50100000000003,4.679000000000004,1.0,5.0,4.739928612014925
CHEMBL495231,inactive,Cc1cc2cc(CN(CCc3ccccc3C)C(=O)NCc3ccccc3)c(=O)[nH]c2cc1C,453.5860000000002,5.407860000000005,2.0,2.0,4.764471553092451
CHEMBL468553,active,O=C(Oc1cncc(Cl)c1)c1cccs1,239.68300000000002,3.0157000000000007,0.0,4.0,6.301029995663981
CHEMBL1082811,inactive,N#Cc1c(-c2ccccc2)nc(SCc2ccccc2)[nH]c1=O,319.38899999999995,3.6008800000000027,1.0,4.0,4.301029995663981
CHEMBL1082812,inactive,N#Cc1c(-c2ccccc2)nc(SCCc2ccccc2)[nH]c1=O,333.41599999999994,3.6433800000000023,1.0,4.0,4.301029995663981
CHEMBL1083123,inactive,N#Cc1c(-c2ccccc2)nc(SCc2ccc([N+](=O)[O-])cc2)[nH]c1=O,364.386,3.5090800000000026,1.0,6.0,4.453457336521869
CHEMBL1083124,inactive,COc1ccc(-c2nc(SCc3ccccc3)[nH]c(=O)c2C#N)cc1,349.4150000000001,3.6094800000000014,1.0,5.0,4.301029995663981
CHEMBL1082714,inactive,COc1ccc(-c2nc(SCCc3ccccc3)[nH]c(=O)c2C#N)cc1,363.44200000000006,3.651980000000002,1.0,5.0,4.692503962086787
CHEMBL1082715,inactive,COc1ccc(-c2nc(SCc3ccc([N+](=O)[O-])cc3)[nH]c(=O)c2C#N)cc1,394.4120000000001,3.517680000000002,1.0,7.0,4.580044251510242
CHEMBL327313,inactive,Cc1ccc(-c2nc(SCc3ccccc3)[nH]c(=O)c2C#N)cc1,333.4160000000001,3.9093000000000027,1.0,4.0,4.301029995663981
CHEMBL1083958,inactive,Cc1ccc(-c2nc(SCCc3ccccc3)[nH]c(=O)c2C#N)cc1,347.4430000000001,3.951800000000002,1.0,4.0,4.301029995663981
CHEMBL1083959,inactive,Cc1ccc(-c2nc(SCc3ccc([N+](=O)[O-])cc3)[nH]c(=O)c2C#N)cc1,378.41300000000007,3.8175000000000026,1.0,6.0,4.301029995663981
CHEMBL1083286,inactive,N#Cc1c(-c2cccc([N+](=O)[O-])c2)nc(SCCc2ccccc2)[nH]c1=O,378.41300000000007,3.551580000000002,1.0,6.0,4.301029995663981
CHEMBL1082332,inactive,N#Cc1c(-c2cccc([N+](=O)[O-])c2)nc(SCc2ccc([N+](=O)[O-])cc2)[nH]c1=O,409.3830000000001,3.4172800000000025,1.0,8.0,4.97469413473523
CHEMBL1086234,inactive,N#Cc1c(-c2ccc(Cl)cc2)nc(SCCc2ccccc2)[nH]c1=O,367.86100000000005,4.296780000000003,1.0,4.0,4.772113295386326
CHEMBL1082334,inactive,N#Cc1c(-c2cccc(Cl)c2)nc(SCc2ccccc2)[nH]c1=O,353.834,4.254280000000002,1.0,4.0,4.301029995663981
CHEMBL187266,inactive,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,294.35,4.247920000000003,0.0,3.0,4.050122295963125
CHEMBL215254,inactive,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO,310.34900000000005,3.2203200000000023,1.0,4.0,4.605548319173784
CHEMBL2146517,inactive,COC(=O)[C@@]1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1,338.3590000000001,3.4010200000000026,0.0,5.0,4.675717544702307
CHEMBL187460,inactive,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,296.366,3.4433000000000025,0.0,3.0,3.6445484798734826
CHEMBL363535,inactive,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,276.291,4.095640000000003,0.0,3.0,4.412289034981089
CHEMBL227075,inactive,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,278.307,3.2910200000000023,0.0,3.0,4.841637507904751
CHEMBL45830,inactive,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,282.3829999999999,4.105300000000004,0.0,2.0,4.675717544702307
CHEMBL2311736,active,CC(C)(C)NC(=O)C(c1cc[nH]n1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,422.5290000000002,4.603000000000004,2.0,4.0,6.522878745280337
CHEMBL2311734,active,CC(C)(C)NC(=O)C(c1ccccn1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,433.5520000000002,5.274900000000005,1.0,4.0,6.522878745280337
CHEMBL2311733,inactive,CC(C)(C)NC(=O)C(c1ccncc1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,433.5520000000002,5.274900000000005,1.0,4.0,4.346787486224656
CHEMBL2311732,active,Cc1ccc(C(C(=O)NC(C)(C)C)N(C(=O)c2ccco2)c2ccc(C(C)(C)C)cc2)cn1,447.5790000000002,5.583320000000005,1.0,4.0,6.522878745280337
CHEMBL2311730,inactive,CC(C)(C)NC(=O)C(c1ccnnc1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,434.5400000000002,4.669900000000005,1.0,5.0,5.0
CHEMBL2311729,inactive,Cn1cnc(C(=O)N(c2ccc(C(C)(C)C)cc2)C(C(=O)NC(C)(C)C)c2cccnc2)c1,447.5830000000002,4.4154000000000035,1.0,5.0,4.1249387366083
CHEMBL2311726,inactive,CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ncco1)c1ccc(C(C)(C)C)cc1,434.5400000000002,4.669900000000005,1.0,5.0,4.327902142064283
CHEMBL2311705,inactive,CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1cccs1)c1ccc(C(C)(C)C)cc1,449.6200000000002,5.743400000000006,1.0,4.0,4.301029995663981
CHEMBL2311700,inactive,CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1cnco1)c1ccc(C(C)(C)C)cc1,434.5400000000002,4.669900000000005,1.0,5.0,4.4089353929735005
CHEMBL2311695,inactive,CC(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)cc1,419.5250000000001,5.100800000000004,1.0,4.0,4.55129368009492
CHEMBL2311693,inactive,C=C(Cc1cccc(C)c1)C1=CC=C(c2ccc(C)cc2)C1,286.418,5.815840000000005,0.0,0.0,4.886056647693163
CHEMBL2311692,active,O=C(Oc1cncc(Br)c1)c1cccs1,284.13399999999996,3.1248000000000005,0.0,4.0,6.301029995663981
CHEMBL2311691,inactive,CCN(CC)c1ccc(C(=O)On2nnc3ccccc32)cc1,310.357,2.546500000000001,0.0,6.0,4.954677021213342
CHEMBL2397338,inactive,CC(C)C[C@@H]1NC(=O)[C@@H](NC(=O)OCc2ccccc2)Cc2cn(nn2)CCCNC(=O)CC[C@@H](C=O)NC1=O,555.6360000000003,0.6303000000000024,4.0,9.0,4.809668301829708
CHEMBL2402686,inactive,COc1ccccc1NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,565.6960000000003,3.1416000000000004,4.0,8.0,4.853871964321762
CHEMBL2402685,inactive,COc1cccc(NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(=O)c2nc3ccccc3s2)c1,565.6960000000003,3.1416000000000013,4.0,8.0,5.0
CHEMBL2402680,inactive,CC(C)C[C@H](NC(=O)COc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,536.6540000000002,3.0999000000000017,3.0,7.0,4.619788758288394
CHEMBL2402508,inactive,COc1ccc(CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(=O)c2nc3ccccc3s2)cc1,550.6810000000003,3.2722000000000016,3.0,7.0,4.366531544420414
CHEMBL2402501,inactive,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,536.6540000000002,3.831100000000002,3.0,7.0,4.6777807052660805
CHEMBL1929019,active,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H](C=O)Cc1c[nH]cn1)C(C)C,591.7100000000004,-0.7663999999999922,7.0,8.0,7.187086643357144
CHEMBL2402691,active,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)Cn1[nH]c(=O)c2c([N+](=O)[O-])cccc2c1=O)[C@H](C)OCc1ccccc1)C(C)C,822.9170000000001,1.3020000000000063,5.0,12.0,6.221848749616356
CHEMBL406516,inactive,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)OCc1ccccc1)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F,634.6960000000004,3.8319000000000036,4.0,6.0,5.0
CHEMBL2442053,inactive,COc1ncc(-c2ccc(N(Cc3ccsc3)C(=O)Cn3nnc4ccccc43)cc2)cn1,456.5310000000001,4.191800000000003,0.0,8.0,4.903089986991944
CHEMBL2442055,active,COc1ncccc1-c1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,455.5430000000002,4.796800000000004,0.0,7.0,6.154901959985743
CHEMBL2442056,active,O=C(Cn1nnc2ccccc21)N(Cc1ccsc1)c1ccc(-c2cccnc2)cc1,425.5170000000001,4.788200000000004,0.0,6.0,6.013228265733755
CHEMBL2442057,active,O=C(Cn1nnc2ccccc21)N(Cc1ccsc1)c1ccc(-c2ccccc2)cc1,424.5290000000001,5.393200000000005,0.0,5.0,7.292429823902063
CHEMBL2442061,inactive,CC(C)COC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,463.56300000000016,4.930700000000004,1.0,7.0,4.987162775294828
CHEMBL2442062,inactive,O=C(Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1)C1CCCCC1,473.6020000000003,5.2450000000000045,1.0,6.0,4.655607726314889
CHEMBL2442065,inactive,CC(C)(C)C(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,447.5640000000002,4.710800000000003,1.0,6.0,4.876148359032914
CHEMBL2442069,inactive,CC(C)(C)NC(=O)C(c1ccsc1)N(C(=O)Cn1nnc2ccccc21)c1ccc(NC(=O)c2ccno2)cc1,557.6360000000002,4.4223000000000035,2.0,9.0,4.585026652029182
CHEMBL2442075,inactive,CC(C)(C)NC(=O)C(c1ccsc1)N(C(=O)Cn1nnc2ccccc21)c1ccc(NC(=O)C(C)(C)C)cc1,546.6970000000002,5.166600000000005,2.0,7.0,4.647817481888637
CHEMBL2442078,inactive,CC(C)(C)NC(=O)C(c1ccsc1)N(C(=O)Cn1nnc2ccccc21)c1ccc(NS(C)(=O)=O)cc1,540.6710000000002,3.5535000000000023,2.0,8.0,4.5968794788241825
CHEMBL2440138,inactive,CC(C)(C)NC(=O)C(c1ccsc1)N(C(=O)Cn1nnc2ccccc21)c1ccc(N)cc1,462.5790000000002,3.7642000000000024,2.0,7.0,4.698970004336019
CHEMBL2442080,inactive,CC(=O)Nc1ccc(N(C(=O)Cn2cc(-c3ccccc3)nn2)C(C(=O)NC(C)(C)C)c2ccsc2)cc1,530.6540000000002,4.654200000000004,2.0,7.0,4.958607314841775
CHEMBL4465864,inactive,CC(=O)N[C@H](C(=O)NCC(=O)NC1[C@H]2CCCC[C@@H]2CN(C(=O)c2ccc(Br)cc2)[C@@H]1CN[C@H](C=O)Cc1c[nH]cn1)[C@@H](C)O,688.624,0.6893000000000034,6.0,8.0,4.585026652029182
CHEMBL4532437,inactive,CCSC(SCC)[C@H](Cc1c[nH]cn1)NC[C@@H]1C(NC(=O)CNC(=O)[C@@H](NC(C)=O)[C@@H](C)O)[C@H]2CCCC[C@@H]2CN1C(=O)c1ccc(Br)cc1,794.8829999999999,3.3227000000000064,6.0,9.0,3.7569619513137056
CHEMBL4437284,inactive,CON(C)C(=O)[C@H](Cc1c[nH]cn1)NC[C@@H]1C(NC(=O)CNC(=O)[C@@H](NC(C)=O)[C@@H](C)O)[C@H]2CCCC[C@@H]2CN1C(=O)c1ccc(Br)cc1,747.6920000000001,0.5102000000000062,6.0,9.0,3.0
CHEMBL4459894,inactive,CCOC(=O)/C=C/[C@H](Cc1c[nH]cn1)NC[C@@H]1C(NC(=O)CNC(=O)[C@@H](NC(C)=O)[C@@H](C)O)[C@H]2CCCC[C@@H]2CN1C(=O)c1ccc(Br)cc1,758.715,1.6097000000000052,6.0,9.0,2.6989700043360187
CHEMBL4590273,active,Cc1cccc2nc(CSC(=S)NCc3cccnc3)cn12,328.466,3.345620000000001,1.0,5.0,6.416801226031377
CHEMBL5436771,active,S=C([S-])NCc1cccnc1,183.28100000000003,1.003,1.0,3.0,6.782516055786093
CHEMBL2365410,active,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)O,485.5590000000002,0.544700000000002,5.0,7.0,6.79317412396815
